sepal length,sepal width,petal length,petal width,class
low,high,low,low,Iris-setosa
low,low,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,low,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,low,low,low,Iris-setosa
low,low,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,low,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,low,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,low,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,low,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
low,high,low,low,Iris-setosa
high,high,high,high,Iris-versicolor
high,high,high,high,Iris-versicolor
high,high,high,high,Iris-versicolor
low,high,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
high,high,high,high,Iris-versicolor
low,low,low,low,Iris-versicolor
high,low,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
low,low,low,low,Iris-versicolor
high,low,high,high,Iris-versicolor
high,low,high,low,Iris-versicolor
high,low,high,high,Iris-versicolor
low,low,low,high,Iris-versicolor
high,high,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
low,low,high,low,Iris-versicolor
high,low,high,high,Iris-versicolor
low,low,high,low,Iris-versicolor
high,high,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
low,low,low,low,Iris-versicolor
low,low,high,low,Iris-versicolor
low,low,low,low,Iris-versicolor
low,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
high,high,high,high,Iris-versicolor
high,high,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
low,low,low,low,Iris-versicolor
low,low,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
low,low,high,high,Iris-versicolor
high,low,high,high,Iris-versicolor
low,low,low,low,Iris-versicolor
low,low,high,high,Iris-versicolor
high,high,high,high,Iris-virginica
low,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
low,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
low,low,high,high,Iris-virginica
low,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
low,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,high,high,high,Iris-virginica
low,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,low,high,high,Iris-virginica
high,high,high,high,Iris-virginica
high,low,high,high,Iris-virginica
